cell,fate,fate_id,method,purity,n_leaves,n_embryos
ABarapaaaapappa,pharynx,3,ancestor,1.0,1,1
ABarapaaaapappaa,pharynx,3,ancestor,1.0,1,1
ABarapaaaapappap,pharynx,3,ancestor,1.0,1,1
ABarapaaaapappp,pharynx,3,ancestor,1.0,1,1
ABarapaaaapp,pharynx,3,ancestor,1.0,1,1
ABarapaaap,pharynx,3,consensus,1.0,1,232
ABarapaaapa,pharynx,3,exact,1.0,1,2
ABarapaaapaa,pharynx,3,ancestor,1.0,1,1
ABarapaaapap,pharynx,3,ancestor,1.0,1,1
ABarapaaapapa,pharynx,3,ancestor,1.0,1,1
ABarapaaapapaa,pharynx,3,ancestor,1.0,1,1
ABarapaaapapap,pharynx,3,ancestor,1.0,1,1
ABarapaaapapp,pharynx,3,ancestor,1.0,1,1
ABarapaaapp,pharynx,3,ancestor,1.0,1,2
ABarapaaappa,pharynx,3,ancestor,1.0,1,1
