x,y,z,min_size,max_size,cell,mother
-49.73710860157517,13.907376865769443,-1.42448682589519,26.0,41.0,ABarpaapaa,ABarpaapa
-23.34732365533862,7.864366113081271,-1.5795943527769112,26.0,41.0,ABarpaapap,ABarpaapa
-4.9316533041844,21.357880663047435,-1.399077020646676,28.0,50.0,ABarpaapp,ABarpaap
-1.2278397843708808,22.81815105931783,-1.4565147828844371,26.0,41.0,ABarpaappa,ABarpaapp
24.486826882295787,12.399484392651162,-1.6018481162177713,26.0,41.0,ABarpaappp,ABarpaapp
-23.647059910157044,19.64974854359456,0.10862232403380102,38.0,60.0,ABarpap,ABarpa
-33.385752827849146,21.017919175259863,-0.39174956549313367,31.0,55.0,ABarpapa,ABarpap
-77.72429629098187,22.087484392651163,-0.7780858336847155,26.0,48.0,ABarpapaa,ABarpapa
-85.1425241110817,22.22324598205514,-0.7279814495511043,24.0,39.0,ABarpapaaa,ABarpapaa
-64.10941152830024,32.772914856227324,-0.8256635687564028,24.0,39.0,ABarpapaap,ABarpapaa
-49.36039510501923,22.905666210832987,-0.8892922317921195,26.0,48.0,ABarpapap,ABarpapa
-58.08608220861331,25.947874003040774,-0.9679165144861697,24.0,38.0,ABarpapapa,ABarpapap
-33.836082208613306,25.10371815888493,-1.0494100209796766,26.0,39.0,ABarpapapp,ABarpapap
3.853117480586384,25.5233818285486,-0.5601751817448368,32.0,55.0,ABarpapp,ABarpap
-22.51455296266545,38.011902997302336,-0.5605395890859884,26.0,48.0,ABarpappa,ABarpapp
-44.54440091693201,40.47358477875155,-1.0484447700144248,24.0,36.0,ABarpappaa,ABarpappa
-23.976833349364444,41.53922184438862,-0.9268231483928032,24.0,38.0,ABarpappap,ABarpappa
3.8617383293800196,37.91037856111769,-0.5854328534387937,26.0,48.0,ABarpappp,ABarpapp
-8.382993630524725,55.41120234136911,-0.42285324442289973,26.0,39.0,ABarpapppa,ABarpappp
