Parent Cell,parent_x,parent_y,parent_z,Daughter 1,Daughter 2,Birth Time
ABalaappap,225.269596328571,272.6323597,14.99799177,OLQsoVR,AVAR,295
ABalaapppa,211.043232285714,272.0702231,15.3438337742857,RIAR,ABalaapppap,310
ABalaapppp,231.103605557143,275.039403885714,15.4651998471429,ABalaappppa,IL2R,290
ABalapaaaa,188.9576708,247.223869975,15.27418264875,AVHL,ABalapaaaap,335
ABalapaaap,203.0772301875,244.8236518625,15.6341268975,CANL,OLLsoL,290
ABalapaapa,203.0554224,239.908025075,15.42731863375,RIAL,ABalapaapap,317
ABalapaapp,221.026468525,236.9083539,15.464901625,ABalapaappa,IL2L,285
ABalapaappa,124.7777778,191.9722222,15.7888888866667,IL1L,ABalapaappap,397
ABalapapap,223.30536875,249.11940485,15.76987220875,URYDL,ABalapapapa,285
ABalapappa,243.1074538125,242.0160681625,15.6104904275,ABalapappaa,IL2DL,280
ABalapappaa,158.208536866667,239.27833255,15.8583656616667,IL1DL,ABalapappaap,390
ABalapappp,274.269983875,242.3573817625,15.605416905,AVJL,CEPsoDL,290
ABalappaap,196.3190119375,258.1782474375,15.60735169,ABalappaapp,RID,340
ABalappapa,196.337502925,268.174439825,15.47599257,ABalappapap,AVHR,325
ABalappapp,212.95769125,272.3608747125,15.63108516875,CANR,OLLsoR,290
ABalapppaa,213.5307424,264.7664512,15.74956040875,ALA,RMED,303
ABalapppap,236.8090727375,268.1485680625,15.8809818725,URYDR,ABalapppapa,285
ABalappppa,256.368527225,272.7973409,15.60157208,IL2DR,ABalappppaa,280
ABalappppaa,152.40974024,268.33492064,15.3459379516,IL1DR,ABalappppaap,390
ABalappppp,287.0524126125,273.139004,15.60608973375,CEPsoDR,AVJR,290
ABalpaaaaa,212.8527471875,245.8930726625,14.5935837575,m2VL,e3VL,320
ABalpaaaap,238.719895925,246.4375151875,14.55283715625,m1VL,ABalpaaaapp,320
ABalpaaapa,243.9557346875,242.465399725,14.61057113625,m2L,ABalpaaapap,342
ABalpaaapp,265.4827939625,242.74293445,14.61010345,MCL,ABalpaaappa,337
ABalpaapaa,200.93070685,248.1684192125,14.68317312,e2DL,arc post DL,300
ABalpaapap,225.9461578,242.60790005,14.72249712125,mc1DL,m3L,280
ABalpaappa,214.9091587125,236.136320875,14.66821826875,arc post VL,arc ant DL,305
ABalpaappp,239.923475975,234.0404434875,14.662923305,hyp1DL,hyp2DL,295
ABalpapaaa,240.1537568875,236.9291573375,14.3745708975,RIPL,hyp2V,285
ABalpapaap,265.1687058125,237.3026142875,14.289522855,ABalpapaapp,arc ant V,310
ABalpapapa,279.040683425,232.211648725,14.415073895,RMDDL,ABalpapapap,285
ABalpapapap,279.257716033333,200.851851866667,7.75740740733333,SMBDL,ABalpapapapa,390
ABalpapapp,306.1323315,231.578593225,14.336611865,SMBVL,ABalpapappa,305
ABalpappaa,266.8572495,242.0998912125,14.469235015,ABalpappaap,ABalpappaaa,295
ABalpappaap,233.20555555,245.60925925,10.704444445,ABalpappaapp,I2L,385
ABalpappap,292.2712292,240.523026528571,14.0285141485714,mc3V,e2V,270
ABalpapppa,289.2370434875,243.05125485,14.4177231075,ABalpapppap,I1L,318
ABalpapppp,320.2683894625,241.7601892875,14.29521197375,mc1V,m3VL,258
ABalppaaap,212.323787525,231.603922475,15.06004306875,AVAL,OLQsoVL,295
ABalppaapp,243.5939562375,224.9483347875,15.00085445875,CEPsoVL,ABalppaappa,305
ABalppapaa,241.09743625,227.886963975,14.711711275,RMDVL,ILshVL,300
ABalppapap,265.0221871875,228.837887625,14.5675525625,SAADL,ILsoVL,292
ABalppappa,276.28569075,227.04139405,14.48644950625,BAGL,SMDVL,290
