Parent,Daughter 1,Daughter 2,Birth Time
V4Lpa,hyp7,V4Lpap,1820.0
V5Rpp,hyp7,V5Rppp,1820.0
Z1pa,Z1paa,Z1pap,1820.0
Z1pp,Z1ppa,gon herm anch,1820.0
V5Lpp,V5Lppp,hyp7,1820.0
V5Lpa,V5Lpaa,V5Lpap,1820.0
TLap,TLapa,TLapp,1832.0
TRap,TRapp,TRapa,1832.0
V6Rpa,hyp7,V6Rpap,1880.0
V6Lpp,V6Lppp,hyp7,1880.0
V6Rpp,V6Rppp,hyp7,1880.0
V5Lpaa,PDEL,V5Lpaap,1880.0
V6Lpa,V6Lpap,hyp7,1880.0
V5Rpaa,V5Rpaap,PDER,1880.0
V5Rpap,PDEsoR,PDEshR,1886.0
V5Lpap,PDEsoL,PDEshL,1886.0
V5Lpaap,V5Lpaapp,PVDL,1940.0
V5Rpaap,V5Rpaapp,PVDR,1940.0
G2,exc socket,G2a,1940.0
TRapp,PVNR,se,2000.0
TRapa,hyp7,hyp7,2000.0
TLapa,hyp7,hyp7,2000.0
TLapp,PVNL,se,2000.0
G2a,RMFR,RMFL,2240.0
V4Lpap,hyp7,V4Lpapp,2300.0
V5Rppp,V5Rpppp,hyp7,2300.0
H2Rpp,hyp7,H2Rppp,2300.0
V3Lpap,hyp7,V3Lpapp,2300.0
V3Lppp,V3Lpppp,hyp7,2300.0
V4Rpap,V4Rpapp,hyp7,2300.0
V1Lpap,V1Lpapp,hyp7,2300.0
V1Lppp,hyp7,V1Lpppp,2300.0
V4Lppp,hyp7,V4Lpppp,2300.0
V5Lppp,V5Lpppp,hyp7,2300.0
V2Lppp,V2Lpppp,hyp7,2300.0
V2Lpap,V2Lpapp,hyp7,2300.0
V4Rppp,V4Rpppp,hyp7,2300.0
V3Rppp,V3Rpppp,hyp7,2300.0
V1Rppp,V1Rpppp,hyp7,2300.0
H2Lpp,hyp7,H2Lppp,2300.0
V3Rpap,hyp7,V3Rpapp,2300.0
V1Rpap,V1Rpapp,hyp7,2300.0
V2Rpap,hyp7,V2Rpapp,2300.0
V2Rppp,hyp7,V2Rpppp,2300.0
V6Lppp,V6Lpppp,hyp7,2330.0
